time,load_kwh,pv_kwh,price,soc_current,soc_next,requested_command_kw,command_kw,charge_kw,discharge_kw,grid_import_kwh,electricity_cost,degradation_cost,reward
2019-11-11 04:00:00,74.559530249183,0.0,0.1,0.5,0.5,0.0,0.0,0.0,-0.0,74.559530249183,7.4559530249183,0.0,-7.4559530249183
2019-11-11 05:00:00,75.1790098541809,0.0,0.1,0.5,0.9,210.5263157894737,210.5263157894737,210.5263157894737,0.0,285.7053256436546,28.57053256436546,8.0,-36.570532564365465
2019-11-11 06:00:00,76.83969087446215,0.8513291636712196,0.1,0.9,0.9,-0.0,-0.0,-0.0,0.0,75.98836171079093,7.598836171079093,0.0,-7.598836171079093
2019-11-11 07:00:00,83.34081900369799,24.375944444444443,0.18,0.9,0.9,0.0,0.0,0.0,-0.0,58.964874559253545,10.613677420665638,0.0,-10.613677420665638
2019-11-11 08:00:00,79.04499479646377,52.36814696969696,0.18,0.9,0.9,0.0,0.0,0.0,-0.0,26.67684782676681,4.801832608818025,0.0,-4.801832608818025
2019-11-11 09:00:00,84.77046467166511,79.22326923076922,0.18,0.9,0.9,0.0,0.0,0.0,-0.0,5.547195440895891,0.9984951793612603,0.0,-0.9984951793612603
2019-11-11 10:00:00,94.50340332532171,90.12807708333334,0.18,0.9,0.9,0.0,0.0,0.0,-0.0,4.375326241988375,0.7875587235579076,0.0,-0.7875587235579076
2019-11-11 11:00:00,95.00357625464129,81.04171590909091,0.18,0.9,0.9,0.0,0.0,0.0,-0.0,13.961860345550377,2.5131348621990677,0.0,-2.5131348621990677
2019-11-11 12:00:00,89.3053698826706,76.2750423076923,0.18,0.9,0.9,0.0,0.0,0.0,-0.0,13.030327574978301,2.3454589634960943,0.0,-2.3454589634960943
2019-11-11 13:00:00,84.75907453428992,57.53093611111111,0.18,0.9,0.9,0.0,0.0,0.0,-0.0,27.228138423178812,4.901064916172186,0.0,-4.901064916172186
2019-11-11 14:00:00,81.7314834843874,44.88780606060606,0.18,0.9,0.9,-0.0,-0.0,-0.0,0.0,36.84367742378134,6.63186193628064,0.0,-6.63186193628064
