time,load_kwh,pv_kwh,price,soc_current,soc_next,requested_command_kw,command_kw,charge_kw,discharge_kw,grid_import_kwh,electricity_cost,degradation_cost,reward
2019-11-11 04:00:00,74.559530249183,0.0,0.1,0.5,0.7375,125.0,125.0,125.0,0.0,199.559530249183,19.9559530249183,0.0,-19.9559530249183
2019-11-11 05:00:00,75.1790098541809,0.0,0.1,0.7375,0.47434210526315795,-125.0,-125.0,0.0,125.0,-49.820990145819096,0.0,0.0,-0.0
2019-11-11 06:00:00,76.83969087446215,0.8513291636712196,0.1,0.47434210526315795,0.47434210526315795,0.0,0.0,0.0,-0.0,75.98836171079093,7.598836171079093,0.0,-7.598836171079093
2019-11-11 07:00:00,83.34081900369799,24.375944444444443,0.18,0.47434210526315795,0.47434210526315795,0.0,0.0,0.0,-0.0,58.964874559253545,10.613677420665638,0.0,-10.613677420665638
2019-11-11 08:00:00,79.04499479646377,52.36814696969696,0.18,0.47434210526315795,0.21118421052631586,-125.0,-125.0,0.0,125.0,-98.32315217323318,0.0,0.0,-0.0
2019-11-11 09:00:00,84.77046467166511,79.22326923076922,0.18,0.21118421052631586,0.21118421052631586,0.0,0.0,0.0,-0.0,5.547195440895891,0.9984951793612603,0.0,-0.9984951793612603
2019-11-11 10:00:00,94.50340332532171,90.12807708333334,0.18,0.21118421052631586,0.21118421052631586,0.0,0.0,0.0,-0.0,4.375326241988375,0.7875587235579076,0.0,-0.7875587235579076
2019-11-11 11:00:00,95.00357625464129,81.04171590909091,0.18,0.21118421052631586,0.21118421052631586,0.0,0.0,0.0,-0.0,13.961860345550377,2.5131348621990677,0.0,-2.5131348621990677
2019-11-11 12:00:00,89.3053698826706,76.2750423076923,0.18,0.21118421052631586,0.21118421052631586,0.0,0.0,0.0,-0.0,13.030327574978301,2.3454589634960943,0.0,-2.3454589634960943
2019-11-11 13:00:00,84.75907453428992,57.53093611111111,0.18,0.21118421052631586,0.21118421052631586,0.0,0.0,0.0,-0.0,27.228138423178812,4.901064916172186,0.0,-4.901064916172186
2019-11-11 14:00:00,81.7314834843874,44.88780606060606,0.18,0.21118421052631586,0.21118421052631586,0.0,0.0,0.0,-0.0,36.84367742378134,6.63186193628064,0.0,-6.63186193628064
2019-11-11 15:00:00,79.89865589566918,23.790312564102564,0.18,0.21118421052631586,0.21118421052631586,0.0,0.0,0.0,-0.0,56.108343331566616,10.09950179968199,0.0,-10.09950179968199
2019-11-11 16:00:00,79.00864308229974,5.219202762201454,0.32,0.21118421052631586,0.44868421052631585,125.0,125.0,125.0,0.0,198.7894403200983,63.61262090243145,0.0,-63.61262090243145
2019-11-11 17:00:00,78.6046927723206,0.0,0.32,0.44868421052631585,0.18552631578947376,-125.0,-125.0,0.0,125.0,-46.395307227679396,0.0,0.0,-0.0
2019-11-11 18:00:00,80.71624675533228,0.0,0.32,0.18552631578947376,0.18552631578947376,0.0,0.0,0.0,-0.0,80.71624675533228,25.82919896170633,0.0,-25.82919896170633
2019-11-11 19:00:00,79.5755961464227,0.0,0.32,0.18552631578947376,0.1,-250.0,-40.625000000000036,0.0,40.625000000000036,38.95059614642266,12.464190766855252,0.0,-12.464190766855252
2019-11-11 20:00:00,78.87454168707478,0.0,0.32,0.1,0.575,250.0,250.0,250.0,0.0,328.8745416870748,105.23985333986393,0.0,-105.23985333986393
2019-11-11 21:00:00,77.61231979043929,0.0,0.32,0.575,0.31184210526315786,-125.0,-125.0,0.0,125.0,-47.38768020956071,0.0,0.0,-0.0
