time,pv_kwh,load_kwh,net_grid_kwh,source_battery_kwh,reconstructed_load_kwh,is_observed_hour,price,hour,day,day_of_week,month,predicted_pv_1h,predicted_load_1h,predicted_pv_2h,predicted_load_2h,predicted_pv_3h,predicted_load_3h
2019-02-28 00:00:00,0.0,71.4450084141138,71.39080132205555,0.05420709205825488,71.4450084141138,True,0.1,0,weekday,3,2,0.0,71.4450084141138,0.0,71.4450084141138,0.0,71.4450084141138
2019-02-28 01:00:00,0.0,71.01408681271236,70.97338689213801,0.040699920574359304,71.01408681271236,True,0.1,1,weekday,3,2,0.0,71.01408681271236,0.0,71.01408681271236,0.0,71.01408681271236
2019-02-28 02:00:00,0.0,70.68134852009248,70.63805112321609,0.0432973968764013,70.68134852009248,True,0.1,2,weekday,3,2,0.0,70.68134852009248,0.0,70.68134852009248,0.0,70.68134852009248
2019-02-28 03:00:00,0.0,70.05546605561996,70.00916669709719,0.04629935852277409,70.05546605561996,True,0.1,3,weekday,3,2,0.0,70.05546605561996,0.0,70.05546605561996,0.0,70.05546605561996
2019-02-28 04:00:00,0.0,70.99168437326985,70.94073986872624,0.050944504543609666,70.99168437326985,True,0.1,4,weekday,3,2,0.0,70.99168437326985,0.0,70.99168437326985,0.0,70.99168437326985
2019-02-28 05:00:00,0.0,67.17988615151911,67.12821891917406,0.051667232345059724,67.17988615151911,True,0.1,5,weekday,3,2,0.0,67.17988615151911,0.0,67.17988615151911,0.0,67.17988615151911
2019-02-28 06:00:00,0.0,76.4163835105734,76.38016563549571,0.036217875077692814,76.4163835105734,True,0.1,6,weekday,3,2,0.0,76.4163835105734,0.0,76.4163835105734,0.0,76.4163835105734
2019-02-28 07:00:00,5.232405138888889,85.21966985411893,79.9253228912262,0.061941824003843265,85.21966985411892,True,0.18,7,weekday,3,2,5.232405138888889,85.21966985411893,5.232405138888889,85.21966985411893,5.232405138888889,85.21966985411893
2019-02-28 08:00:00,19.21054015151515,107.89580182855153,88.61316601647626,0.07209566056012512,107.89580182855153,True,0.18,8,weekday,3,2,19.21054015151515,107.89580182855153,19.21054015151515,107.89580182855153,19.21054015151515,107.89580182855153
2019-02-28 09:00:00,36.56679743589743,95.66638275780691,70.82149359794462,-11.721908276035148,95.66638275780691,True,0.18,9,weekday,3,2,36.56679743589743,95.66638275780691,36.56679743589743,95.66638275780691,36.56679743589743,95.66638275780691
2019-02-28 10:00:00,44.74270972222222,97.91564030878406,75.17643779373707,-22.003507207175222,97.91564030878406,True,0.18,10,weekday,3,2,44.74270972222222,97.91564030878406,44.74270972222222,97.91564030878406,44.74270972222222,97.91564030878406
2019-02-28 11:00:00,63.15871212121212,125.71855085072484,84.59294225833561,-22.03310352882289,125.71855085072484,True,0.18,11,weekday,3,2,63.15871212121212,125.71855085072484,63.15871212121212,125.71855085072484,63.15871212121212,125.71855085072484
2019-02-28 12:00:00,74.91402692307692,116.4855931092758,63.23558009565589,-21.664013909457026,116.48559310927577,True,0.18,12,weekday,3,2,74.91402692307692,116.4855931092758,74.91402692307692,116.4855931092758,74.91402692307692,116.4855931092758
2019-02-28 13:00:00,78.55042916666666,105.96397421866938,46.288353022617486,-18.87480797061477,105.96397421866938,True,0.18,13,weekday,3,2,78.55042916666666,105.96397421866938,78.55042916666666,105.96397421866938,78.55042916666666,105.96397421866938
2019-02-28 14:00:00,63.87118030303031,104.38539672079295,54.60465345004775,-14.090437032285088,104.38539672079295,True,0.18,14,weekday,3,2,63.87118030303031,104.38539672079295,63.87118030303031,104.38539672079295,63.87118030303031,104.38539672079295
2019-02-28 15:00:00,40.01904897435898,94.02423327486687,59.94131086598341,-5.9361265654755195,94.02423327486687,True,0.18,15,weekday,3,2,40.01904897435898,94.02423327486687,40.01904897435898,94.02423327486687,40.01904897435898,94.02423327486687
2019-02-28 16:00:00,12.383968888888887,79.31308309188059,46.755863511729814,20.17325069126189,79.31308309188059,True,0.32,16,weekday,3,2,12.383968888888887,79.31308309188059,12.383968888888887,79.31308309188059,12.383968888888887,79.31308309188059
2019-02-28 17:00:00,2.5468792424242426,78.87625922468023,56.202117919493304,20.12726206276267,78.87625922468023,True,0.32,17,weekday,3,2,2.5468792424242426,78.87625922468023,2.5468792424242426,78.87625922468023,2.5468792424242426,78.87625922468023
2019-02-28 18:00:00,0.11076923076923076,76.36355485683703,56.13063612582807,20.122149500239736,76.36355485683703,True,0.32,18,weekday,3,2,0.11076923076923076,76.36355485683703,0.11076923076923076,76.36355485683703,0.11076923076923076,76.36355485683703
