time,load_kwh,pv_kwh,price,soc_current,soc_next,requested_command_kw,command_kw,charge_kw,discharge_kw,grid_import_kwh,electricity_cost,degradation_cost,reward
2019-11-11 04:00:00,74.559530249183,0.0,0.1,0.5,0.2368421052631579,-125.0,-125.0,0.0,125.0,-50.440469750817,0.0,5.263157894736842,-5.263157894736842
2019-11-11 05:00:00,75.1790098541809,0.0,0.1,0.2368421052631579,0.2368421052631579,0.0,0.0,0.0,-0.0,75.1790098541809,7.517900985418091,0.0,-7.517900985418091
2019-11-11 06:00:00,76.83969087446215,0.8513291636712196,0.1,0.2368421052631579,0.1,-250.0,-65.0,0.0,65.0,10.988361710790926,1.0988361710790926,2.736842105263158,-3.8356782763422506
2019-11-11 07:00:00,83.34081900369799,24.375944444444443,0.18,0.1,0.1,-250.0,-0.0,-0.0,0.0,58.964874559253545,10.613677420665638,0.0,-10.613677420665638
2019-11-11 08:00:00,79.04499479646377,52.36814696969696,0.18,0.1,0.1,0.0,0.0,0.0,-0.0,26.67684782676681,4.801832608818025,0.0,-4.801832608818025
2019-11-11 09:00:00,84.77046467166511,79.22326923076922,0.18,0.1,0.1,-125.0,-0.0,-0.0,0.0,5.547195440895891,0.9984951793612603,0.0,-0.9984951793612603
2019-11-11 10:00:00,94.50340332532171,90.12807708333334,0.18,0.1,0.1,-250.0,-0.0,-0.0,0.0,4.375326241988375,0.7875587235579076,0.0,-0.7875587235579076
2019-11-11 11:00:00,95.00357625464129,81.04171590909091,0.18,0.1,0.575,250.0,250.0,250.0,0.0,263.96186034555035,47.51313486219906,9.5,-57.01313486219906
2019-11-11 12:00:00,89.3053698826706,76.2750423076923,0.18,0.575,0.31184210526315786,-125.0,-125.0,0.0,125.0,-111.9696724250217,0.0,5.263157894736842,-5.263157894736842
2019-11-11 13:00:00,84.75907453428992,57.53093611111111,0.18,0.31184210526315786,0.31184210526315786,0.0,0.0,0.0,-0.0,27.228138423178812,4.901064916172186,0.0,-4.901064916172186
2019-11-11 14:00:00,81.7314834843874,44.88780606060606,0.18,0.31184210526315786,0.1,-250.0,-100.62499999999999,0.0,100.62499999999999,-63.78132257621865,0.0,4.2368421052631575,-4.2368421052631575
2019-11-11 15:00:00,79.89865589566918,23.790312564102564,0.18,0.1,0.1,-250.0,-0.0,-0.0,0.0,56.108343331566616,10.09950179968199,0.0,-10.09950179968199
2019-11-11 16:00:00,79.00864308229974,5.219202762201454,0.32,0.1,0.1,-125.0,-0.0,-0.0,0.0,73.7894403200983,23.612620902431456,0.0,-23.612620902431456
